t1,t2,q
36.96075774,36.96107967,2.565977249
36.96107967,36.96144517,2.566051449
36.96144517,36.96172483,2.566000399
36.96172483,36.96205834,2.566080855
36.96205834,36.9623359,2.566056649
36.9623359,36.96263448,2.566104077
36.96263448,36.9629355,2.566134936
36.9629355,36.96321916,2.566146221
36.96321916,36.96355609,2.566226481
36.96355609,36.96381812,2.566183648
36.96381812,36.96410902,2.56623745
36.96410902,36.96442884,2.566294052
36.96442884,36.9647385,2.566314333
36.9647385,36.96500044,2.566296081
36.96500044,36.96535897,2.566417591
36.96535897,36.96560576,2.566339973
36.96560576,36.96588283,2.566393744
36.96588283,36.96616561,2.566425806
36.96616561,36.96647248,2.56647682
36.96647248,36.96676763,2.566494298
36.96676763,36.96701284,2.566472445
36.96701284,36.96727752,2.566515253
36.96727752,36.96757091,2.566569145
36.96757091,36.96785926,2.56659203
36.96785926,36.96813138,2.56660323
36.96813138,36.96839318,2.566618813
36.96839318,36.96871364,2.566702388
36.96871364,36.9690068,2.566705586
36.9690068,36.96922906,2.566662578
36.96922906,36.96948328,2.566715694
36.96948328,36.96972533,2.566727707
36.96972533,36.96999713,2.566780501
36.96999713,36.97029261,2.566830038
36.97029261,36.97049892,2.566768992
36.97049892,36.97081364,2.566897032
36.97081364,36.97100584,2.566804469
36.97100584,36.97124545,2.566870166
36.97124545,36.97146022,2.566868125
36.97146022,36.97168383,2.566897396
36.97168383,36.97190129,2.566912535
36.97190129,41.73027287,2.566958248
41.73027287,40.04557368,-3.423293597
40.04557368,40.80370506,-1.140783349
40.80370506,40.43611686,-2.194357185
40.43611686,40.55005139,-1.747815103
40.55005139,40.45275795,-1.948200773
40.45275795,40.45609177,-1.8568322
40.45609177,40.41141771,-1.904522833
40.41141771,40.38539197,-1.890125802
40.38539197,40.35852795,-1.893440762
40.35852795,40.33271479,-1.894946356
40.33271479,40.30687042,-1.897434009
40.30687042,40.28098711,-1.899932374
40.28098711,40.25564785,-1.901851439
40.25564785,40.23024254,-1.904328837
40.23024254,40.1990157,-1.91256801
40.1990157,40.17610849,-1.90722
40.17610849,40.15068044,-1.911920745
40.15068044,40.12676591,-1.912827028
40.12676591,40.10245035,-1.915503831
40.10245035,40.07773994,-1.918212611
40.07773994,40.05077637,-1.92281728
40.05077637,40.02638824,-1.922807756
40.02638824,40.00325608,-1.923872628
40.00325608,39.97910494,-1.927092924
39.97910494,39.95529769,-1.92904731
39.95529769,39.9268739,-1.93592942
39.9268739,39.90625191,-1.930832493
39.90625191,39.88262167,-1.935803195
39.88262167,39.85347065,-1.943572678
39.85347065,39.83325601,-1.937410395
39.83325601,39.8103873,-1.941988132
39.8103873,39.78422544,-1.947457537
39.78422544,39.76246266,-1.945548088
39.76246266,39.74107862,-1.947240346
39.74107862,39.71993256,-1.949037323
39.71993256,39.69329472,-1.956541421
39.69329472,39.66765883,-1.958074391
39.66765883,39.64185691,-1.960680004
39.64185691,39.61893093,-1.960259442
39.61893093,39.59927171,-1.959174373
39.59927171,39.57870969,-1.961948005
39.57870969,39.55297325,-1.969079151
39.55297325,39.53540779,-1.963357321
39.53540779,39.5085515,-1.974319723
39.5085515,39.48546359,-1.973107059
39.48546359,39.46103583,-1.976644007
39.46103583,39.44387203,-1.971704662
39.44387203,39.42189396,-1.978152286
39.42189396,39.40444131,-1.975718351
39.40444131,39.38400777,-1.980360084
39.38400777,39.36636929,-1.97950953
39.36636929,39.34773497,-1.98218389
39.34773497,39.32727467,-1.985783165
39.32727467,39.30640733,-1.988137256
39.30640733,39.28913693,-1.986526111
39.28913693,39.27008748,-1.98994865
39.27008748,39.25291888,-1.989880605
39.25291888,39.23533564,-1.991929044
39.23533564,39.2178173,-1.993537418
39.2178173,39.20078251,-1.994720954
39.20078251,39.18130653,-1.99878322
39.18130653,39.15977026,-2.002696898
39.15977026,39.13918744,-2.003792884
39.13918744,39.11846466,-2.00589157
39.11846466,39.09808598,-2.007519493
39.09808598,39.07784209,-2.009323998
39.07784209,39.06320852,-2.005640139
39.06320852,39.04458747,-2.011020186
39.04458747,39.02458726,-2.014171371
39.02458726,39.01046235,-2.010199342
39.01046235,38.99360268,-2.014278268
38.99360268,38.97358857,-2.019037119
38.97358857,38.95493361,-2.01958256
38.95493361,38.93593015,-2.021706318
38.93593015,38.91925831,-2.021183106
38.91925831,38.9000149,-2.025341225
38.9000149,38.88203433,-2.025909625
38.88203433,38.8649861,-2.026688373
38.8649861,38.84661592,-2.029632668
38.84661592,38.83136884,-2.028257729
38.83136884,38.81746346,-2.028366983
38.81746346,38.79864218,-2.034606146
38.79864218,38.78609014,-2.030127995
38.78609014,38.77162582,-2.033234754
38.77162582,38.75368533,-2.038087391
38.75368533,38.73718258,-2.038356903
38.73718258,38.72026593,-2.040341259
38.72026593,38.70375748,-2.041542888
38.70375748,38.69171947,-2.03864344
38.69171947,38.67376875,-2.045701706
38.67376875,38.66111812,-2.04210986
38.66111812,38.64800974,-2.043771473
38.64800974,38.63506009,-2.044860175
38.63506009,38.61962778,-2.048575155
38.61962778,38.60423854,-2.050000665
38.60423854,38.58868591,-2.051628537
38.58868591,38.57337866,-2.052863184
38.57337866,38.55986177,-2.052529492
38.55986177,38.54800228,-2.052158402
38.54800228,38.53593463,-2.053495144
38.53593463,38.52085584,-2.057654674
38.52085584,38.51034257,-2.054524083
38.51034257,38.49682607,-2.058527787
38.49682607,38.48400467,-2.059118953
38.48400467,38.46913967,-2.062382663
38.46913967,38.45523079,-2.06284114
38.45523079,38.44483629,-2.060650372
38.44483629,38.42955177,-2.066529554
38.42955177,38.42009761,-2.062153706
38.42009761,38.40834745,-2.06534939
38.40834745,38.39640863,-2.066656222
38.39640863,38.38240656,-2.069855603
38.38240656,38.37042407,-2.069168506
38.37042407,38.3567017,-2.072048659
38.3567017,38.34384091,-2.072492942
38.34384091,38.33371345,-2.070983469
38.33371345,38.32089498,-2.074638245
38.32089498,38.30823893,-2.075695653
38.30823893,38.29900365,-2.073479276
38.29900365,38.28521899,-2.078907504
38.28521899,38.2733821,-2.078271516
38.2733821,38.26417123,-2.076771925
38.26417123,38.25409467,-2.078514151
38.25409467,38.24455898,-2.078932186
38.24455898,38.23488835,-2.079974573
38.23488835,38.22537679,-2.080735776
38.22537679,38.21591313,-2.081593025
38.21591313,38.20509327,-2.083849815
38.20509327,38.19516471,-2.083988158
38.19516471,38.18613531,-2.084033822
38.18613531,38.17655057,-2.085448429
38.17655057,38.16460984,-2.088716527
38.16460984,38.15668496,-2.085836983
38.15668496,38.14723804,-2.088113182
38.14723804,38.13847381,-2.088329481
38.13847381,38.12797163,-2.090901453
38.12797163,38.11697285,-2.092397477
38.11697285,38.10626408,-2.093154134
38.10626408,38.09557409,-2.094154427
38.09557409,38.08502292,-2.095032895
38.08502292,38.07605474,-2.094453982
38.07605474,38.06512739,-2.097266586
38.06512739,38.05510621,-2.09740029
38.05510621,38.04483063,-2.098608335
38.04483063,38.03480345,-2.099337787
38.03480345,38.0248105,-2.100257772
38.0248105,38.01494243,-2.101083837
38.01494243,38.00515936,-2.10193791
38.00515936,37.99765534,-2.100589851
37.99765534,37.9880476,-2.103407665
37.9880476,37.97858941,-2.104172416
37.97858941,37.97132396,-2.102879738
37.97132396,37.96153092,-2.106098731
37.96153092,37.95247718,-2.106291355
37.95247718,37.94565831,-2.104918072
37.94565831,37.9380828,-2.106323613
37.9380828,37.9293896,-2.108162198
37.9293896,37.92033973,-2.109346142
37.92033973,37.91151198,-2.10998523
37.91151198,37.90270621,-2.110803318
37.90270621,37.8940121,-2.111529649
37.8940121,37.88670089,-2.110974093
37.88670089,37.87766752,-2.113392011
37.87766752,37.86942339,-2.113462401
37.86942339,37.86094929,-2.114476911
37.86094929,37.85272782,-2.115030702
37.85272782,37.84447648,-2.115842946
37.84447648,37.83634951,-2.116503792
37.83634951,37.82943337,-2.116066343
37.82943337,37.82101179,-2.118229941
37.82101179,37.81328648,-2.118335101
37.81328648,37.80536512,-2.119266302
37.80536512,37.79972446,-2.117739416
37.79972446,37.79121609,-2.121143911
37.79121609,37.7839386,-2.12072271
37.7839386,37.77622896,-2.121847401
37.77622896,37.77068836,-2.120412036
37.77068836,37.76390485,-2.122182199
37.76390485,37.75823073,-2.121718353
37.75823073,37.75226327,-2.122551646
37.75226327,37.74650407,-2.122911277
37.74650407,37.73897845,-2.125225744
37.73897845,37.73347811,-2.123916634
37.73347811,37.7257917,-2.126626121
37.7257917,37.71906935,-2.126393524
37.71906935,37.71202201,-2.127358228
37.71202201,37.70682296,-2.126180583
37.70682296,37.70119366,-2.127105591
37.70119366,37.69457583,-2.128629812
37.69457583,37.68966181,-2.127555781
37.68966181,37.6823441,-2.130427095
37.6823441,37.67784438,-2.128305479
37.67784438,37.67072611,-2.131352229
37.67072611,37.66453946,-2.131098005
